year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2006,23,,San Diego Padres,NL,162,5576,731,1465,298,38,161,698,564,1104,123,31,0.263,0.332,0.416,0.748,6287,40,59,47,127,1551,0.99,2322,37,0.299,34.63
2006,24,,Arizona Diamondbacks,NL,162,5645,773,1506,331,38,160,743,504,965,76,30,0.267,0.331,0.424,0.755,6330,67,61,53,136,1678,1.04,2393,47,0.294,35.28
2006,25,,Los Angeles Angels,AL,162,5609,766,1539,309,29,159,737,486,914,148,57,0.274,0.334,0.425,0.759,6221,42,31,53,126,1651,1.04,2383,49,0.301,35.28
2006,26,,Colorado Rockies,NL,162,5562,813,1504,325,54,157,761,561,1108,85,50,0.27,0.341,0.433,0.774,6348,60,119,45,119,1678,1.17,2408,64,0.31,35.43
2006,27,,Los Angeles Dodgers,NL,162,5628,820,1552,307,58,153,787,601,959,128,49,0.276,0.348,0.432,0.78,6394,51,66,48,140,1677,1.08,2434,61,0.307,36.78
2006,28,,Minnesota Twins,AL,162,5602,801,1608,275,34,143,754,490,872,101,42,0.287,0.347,0.425,0.772,6228,50,31,55,163,1751,1.2,2380,46,0.316,39.18
2006,29,,Pittsburgh Pirates,NL,162,5558,691,1462,286,17,141,656,459,1200,68,23,0.263,0.327,0.397,0.724,6218,89,62,49,153,1554,1.07,2205,49,0.31,39.42
2006,30,,Kansas City Royals,AL,162,5589,757,1515,335,37,124,718,474,1040,65,34,0.271,0.332,0.411,0.743,6229,64,52,48,130,1717,1.21,2296,32,0.311,45.07
2007,1,,Milwaukee Brewers,NL,162,5554,801,1455,310,37,231,774,501,1137,96,32,0.262,0.329,0.456,0.785,6238,76,60,47,112,1481,0.93,2532,60,0.289,24.04
2007,2,,Philadelphia Phillies,NL,162,5688,892,1558,326,41,213,850,641,1205,138,19,0.274,0.354,0.458,0.812,6537,90,65,52,125,1479,0.95,2605,74,0.311,26.7
2007,3,,Cincinnati Reds,NL,162,5607,783,1496,293,23,204,747,536,1113,97,31,0.267,0.335,0.436,0.771,6332,66,73,46,140,1527,0.96,2447,51,0.298,27.48
2007,4,,Florida Marlins,NL,162,5627,790,1504,340,38,201,749,521,1332,105,34,0.267,0.336,0.448,0.784,6344,82,72,42,107,1396,0.93,2523,46,0.315,28.0
2007,4,,New York Yankees,AL,162,5717,968,1656,326,32,201,929,637,991,123,40,0.29,0.366,0.463,0.829,6528,78,41,54,138,1706,1.17,2649,32,0.318,28.44
2007,6,,Chicago White Sox,AL,162,5441,693,1341,249,20,190,667,532,1149,78,45,0.246,0.318,0.404,0.722,6103,52,41,35,138,1572,1.08,2200,33,0.278,28.64
2007,7,,Tampa Bay Devil Rays,AL,162,5593,782,1500,291,36,187,750,545,1324,131,48,0.268,0.336,0.433,0.769,6280,53,34,52,118,1409,0.97,2424,31,0.318,29.91
2007,8,,Texas Rangers,AL,162,5555,816,1460,298,36,179,768,503,1224,88,25,0.263,0.328,0.426,0.754,6214,56,57,42,129,1467,0.98,2367,27,0.305,31.03
2007,9,,Cleveland Indians,AL,162,5604,811,1504,305,27,178,784,590,1202,72,41,0.268,0.343,0.428,0.771,6367,80,32,59,114,1444,0.93,2397,56,0.31,31.48
2007,10,,Detroit Tigers,AL,162,5757,887,1652,352,50,177,857,474,1054,103,30,0.287,0.345,0.458,0.803,6364,56,31,45,128,1507,0.93,2635,45,0.323,32.52
2007,10,,New York Mets,NL,162,5605,804,1543,294,27,177,761,549,981,200,46,0.275,0.342,0.432,0.774,6344,54,77,58,114,1696,1.12,2422,64,0.303,31.67
2007,12,,Atlanta Braves,NL,162,5689,810,1562,328,27,176,781,534,1149,64,30,0.275,0.339,0.435,0.774,6374,49,55,47,137,1585,1.06,2472,43,0.314,32.32
2007,13,,Arizona Diamondbacks,NL,162,5398,712,1350,286,40,171,687,532,1111,109,24,0.25,0.321,0.413,0.734,6101,57,55,58,121,1450,0.91,2229,38,0.282,31.57
